cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8
19,22,26,32,23,40,26,26
18,20,23,32,28,33,30,23
18,24,23,18,29,36,27,28
18,21,22,30,29,34,23,20
16,19,17,31,26,36,21,22
16,20,27,28,28,35,27,27
16,19,23,29,26,22,30,30
17,22,15,19,39,26,19,32
16,19,25,22,17,21,43,42
17,19,26,32,23,25,22,21
20,18,18,19,24,41,19,29
17,16,26,19,24,36,21,27
19,13,23,21,21,35,39,21
19,14,29,37,24,22,20,35
16,17,25,22,22,22,48,26
16,17,24,21,32,34,22,23
18,17,25,21,25,24,25,25
16,15,27,19,43,31,27,30
16,16,17,34,24,27,24,36
16,15,28,23,20,23,34,40
19,14,29,23,27,28,30,43
16,15,28,21,44,24,38,35
16,16,23,27,25,22,24,24
17,17,14,23,21,33,50,25
22,14,23,39,29,34,29,69
16,15,31,40,18,41,29,29
16,16,24,42,22,27,36,28
18,14,23,23,40,31,26,25
16,17,23,41,24,28,22,55
18,14,24,40,29,28,25,19
16,14,23,36,26,29,28,25
16,14,24,37,29,37,37,20
16,15,27,39,20,20,17,21
17,16,25,33,23,32,31,26
17,14,15,20,14,21,16,24
14,13,24,15,25,31,28,20
14,13,23,31,31,26,25,18
17,16,24,30,23,42,31,17
16,19,18,35,25,26,15,21
16,18,22,29,22,53,16,53
19,18,13,20,23,20,25,23
18,19,23,19,15,32,34,69
17,18,24,32,20,32,34,26
16,18,26,20,32,25,22,32
16,16,26,33,40,28,36,20
16,16,23,20,30,41,22,23
16,11,23,32,22,28,29,21
15,19,25,22,50,25,23,24
20,12,24,19,40,30,28,25
