agent_n,a_p_cm,b_p_cm,a_s_x_mm,a_s_y_mm,a_s_z_mm,b_s_x_mm,b_s_y_mm,b_s_z_mm,dist_p_mm,dist_s_mm,dist_diff_mm,target_dist_p_cm,frames_60,latency_ms
1,10,20.5,-750,-840,739,-690,-841,718,105,63.5767253,41.4232747,16.35767253,5,83.333
1,10,31,-750,-840,739,-597,-841,685,210,162.252889,47.74711097,26.2252889,5,83.333
1,10,40,-750,-840,739,-528,-840,661,300,235.3040586,64.69594139,33.53040586,5,83.333
1,10,50,-750,-840,739,-442,-840,630,400,326.7185333,73.2814667,42.67185333,5,83.333
1,10,60,-750,-840,739,-358,-841,600,500,415.9158569,84.08414313,51.59158569,6,100
1,10,70,-750,-840,739,-273,-843,570,600,506.0622491,93.93775086,60.60622491,6,100
2,10,20,-755,-842,740,-685,-838,712,100,75.49834435,24.50165565,17.54983444,4,66.667
2,10,30.5,-755,-842,740,-613,-842,691,205,150.2165104,54.78348959,25.02165104,5,83.333
2,10,40,-755,-842,740,-527,-841,667,300,239.4034252,60.59657479,33.94034252,5,83.333
2,10,50.5,-755,-842,740,-431,-841,626,405,343.4719785,61.52802152,44.34719785,5,83.333
2,10,61,-755,-842,740,-340,-841,593,510,440.2669645,69.73303553,54.02669645,5,83.333
2,10,71,-755,-842,740,-284,-841,573,610,499.7309276,110.2690724,59.97309276,6,100
3,10,20.5,-755,-842,740,-692,-840,719,105,66.43794097,38.56205903,16.6437941,5,83.333
3,10,30.5,-755,-842,740,-597,-839,685,205,167.3260291,37.67397094,26.73260291,5,83.333
3,10,40.5,-755,-842,740,-520,-841,658,305,248.8975693,56.10243071,34.88975693,5,83.333
3,10,50,-755,-842,740,-445,-841,630,400,328.9392041,71.06079589,42.89392041,5,83.333
3,10,60,-755,-842,740,-378,-841,607,500,399.773686,100.226314,49.9773686,7,116.667
3,10,73,-755,-842,740,-250,-842,561,630,535.7854048,94.2145952,63.57854048,6,100
4,10,20.5,-746,-838,738,-670,-840,711,105,80.67837381,24.32162619,18.06783738,4,66.667
4,10,30.5,-746,-838,738,-595,-839,684,205,160.368326,44.63167395,26.0368326,5,83.333
4,10,41,-746,-838,738,-523,-840,659,310,236.5882499,73.41175008,33.65882499,6,100
4,10,51,-746,-838,738,-451,-841,633,410,313.143737,96.85626304,41.3143737,7,116.667
4,10,60,-746,-838,738,-356,-842,599,500,414.0495139,85.95048605,51.40495139,7,116.667
4,10,71,-746,-838,738,-257,-842,564,610,519.0500939,90.94990608,61.90500939,7,116.667
5,10,20,-756,-842,739,-686,-838,717,100,73.48469228,26.51530772,17.34846923,5,83.333
5,10,30,-756,-842,739,-601,-840,686,200,163.8230753,36.1769247,26.38230753,5,83.333
5,10,40,-756,-842,739,-531,-842,661,300,238.1365155,61.86348453,33.81365155,6,100
5,10,50.5,-756,-842,739,-431,-841,625,405,344.4154468,60.58455319,44.44154468,5,83.333
5,10,60,-756,-842,739,-376,-841,606,500,402.6040238,97.39597618,50.26040238,7,116.667
5,10,71,-756,-842,739,-270,-841,568,610,515.2067546,94.79324539,61.52067546,6,100
6,10,20,-753,-841,740,-683,-839,715,100,74.35724578,25.64275422,17.43572458,4,66.667
6,10,31,-753,-841,740,-598,-840,685,210,164.4718821,45.5281179,26.44718821,5,83.333
6,10,40.5,-753,-841,740,-532,-841,661,305,234.6955475,70.30445253,33.46955475,6,100
6,10,50.5,-753,-841,740,-453,-841,633,405,318.5105964,86.48940363,41.85105964,7,116.667
6,10,61,-753,-841,740,-355,-841,598,510,422.5730706,87.4269294,52.25730706,7,116.667
6,10,70,-753,-841,740,-280,-842,571,600,502.2857752,97.71422477,60.22857752,7,116.667
7,10,20,-755,-844,740,-679,-839,714,100,80.47981113,19.52018887,18.04798111,4,66.667
7,10,31.5,-755,-844,740,-596,-840,685,215,168.2914139,46.70858608,26.82914139,6,100
7,10,42,-755,-844,740,-500,-842,649,320,270.7581947,49.24180529,37.07581947,5,83.333
7,10,50.5,-755,-844,740,-463,-841,636,405,309.9822576,95.01774244,40.99822576,7,116.667
7,10,60.5,-755,-844,740,-345,-841,595,505,434.8953897,70.10461028,53.48953897,6,100
7,10,70.5,-755,-844,740,-268,-841,567,605,516.8239546,88.17604545,61.68239546,7,116.667
8,10,20,-742,-839,736,-677,-840,713,100,68.95650803,31.04349197,16.8956508,6,100
8,10,30.5,-742,-839,736,-597,-840,685,205,153.7107674,51.28923265,25.37107674,6,100
8,10,40,-742,-839,736,-514,-841,655,300,241.9690063,58.03099372,34.19690063,6,100
8,10,50.5,-742,-839,736,-432,-840,626,405,328.9392041,76.06079589,42.89392041,6,100
8,10,60.5,-742,-839,736,-356,-841,599,505,409.5961426,95.40385744,50.95961426,7,116.667
8,10,71,-742,-839,736,-255,-841,563,610,516.8191173,93.18088271,61.68191173,7,116.667
